,image_id,emotion
0,fadcda8b-5d0a-4340-825b-6747257b368a,2
1,485a2655-d827-4db0-b2d4-ca8ee1d27b0f,3
2,bb9c4ed1-b7b8-4a1f-acd4-7ac02590ad2a,4
3,9b9635a4-481e-4a07-a0ca-1ab4ac843cc5,3
4,f0eda54c-814d-49d9-b896-5829094a47a5,3
5,e581966a-2b09-49d5-8a2d-6b05e2ec4afa,4
6,b32624a4-a8f2-41d7-971f-445a3905e7de,4
7,1eea72f2-2813-4bea-9489-d91b455d1b43,6
8,fdf22568-d346-4d8e-8362-3019dadd26f3,0
9,502d6a34-55b4-4f22-a2e7-127a9b543669,3
10,3eb0be7b-9e51-46e1-ba73-9ca07b74b889,3
11,8f6114a5-472c-4edf-b4cd-6fb36be03d97,3
12,90209210-a330-4417-ad02-70d5c63dce8b,6
13,89643061-140d-4abb-b4c6-de1f017f02c8,5
14,69146eaf-d948-4c19-b39e-2939e27735f4,0
15,70cece03-9617-4bd8-a942-0e025a38112e,0
16,528ba4e3-2cd9-45d8-95fb-fe86fc9210b4,4
17,d87b7504-d02a-42b9-b02f-38acb642d17c,0
18,0dbf34e2-7b48-4d39-a657-a282a8999b7b,4
19,43a06b3f-4dbd-4335-9f24-200c4821e890,3
20,575b0ac5-6cf2-472c-bb1a-9c0a44317af3,0
21,251da30f-58f2-4ac7-b3db-d86a93caa1ee,6
22,11bf4fc2-3657-40fb-8e6e-cbb86d89ed87,0
23,810eb458-a9d2-4802-8118-c5290b0f002b,0
24,68c09ad1-3e74-4b60-90ee-b8697e5f0499,3
25,13b365e2-7a8c-43a6-8fea-5dda8eaa3df6,5
26,08f650c7-4e91-4c83-bdd4-de41684dddca,5
27,914794b8-23d2-413d-a4d7-d66d60941c1f,2
28,1c7188ef-1d3d-46b3-9021-e2b06b910b4a,3
29,8e33c14b-525a-447f-96f6-17bb68ccbe62,2
30,bd50a32d-b14d-417b-99bc-f023b5d64050,4
31,83533b96-2bf6-43d2-8f61-38e90320c68f,2
32,341b7f88-a21f-4bfe-acd8-fdd832df3f39,0
33,f1b435b3-a0ec-4af3-a4ca-ece2a15711a6,4
34,cd504174-42b2-434c-9379-fc2987a05ca7,3
35,551de510-da9a-4cb2-91cb-e15387ffa58c,6
36,e1ce734e-dff6-4855-aa45-2eba4b49ec26,2
37,58a5dd9b-a5e3-4cdd-aa7d-d4674c743287,3
38,d297619f-4bfc-402c-9143-dce2418b47b1,3
39,5e553635-316c-468b-9af4-f16d5986f808,3
40,5caf7678-a99d-42c9-a4ee-bcab94769cec,4
